_id,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,security_deposit,cleaning_fee,extra_people,guests_included,amenities_count,administrative_division,region,country,longitude,latitude,annual_availability,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_scores_rating,host_id,host_response_rate,host_total_listings_count,superhost,host_neighbourhood
10006546,House,Entire home/apt,Real Bed,2,30,moderate,2019-02-16,8,3,5,51,1,80.0,200.0,35.0,15,6,32,Porto,Grande Porto,Portugal,-8.61308,41.1413,239,9.0,9.0,10.0,10.0,10.0,9.0,89.0,51399391,100.0,3,False,
10009999,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2019-02-11,4,1,2,0,1,317.0,0.0,187.0,0,1,15,Rio de Janeiro,Rio De Janeiro,Brazil,-43.23074991429229,-22.966253551739655,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1282196,0.0,1,False,Jardim Botânico
1001265,Condominium,Entire home/apt,Real Bed,3,365,Strict_14,2019-03-06,2,1,1,96,1,115.0,0.0,100.0,0,1,36,Honolulu,Hawaii,United States,-157.83919,21.28634,343,9.0,8.0,9.0,9.0,10.0,9.0,84.0,5448114,98.0,18,False,Waikiki
10021707,Apartment,Private room,Real Bed,14,1125,flexible,2019-03-06,1,1,1,1,1,40.0,0.0,94.0748,0,1,10,Brooklyn,New York,United States,-73.93615,40.69791,0,10.0,10.0,10.0,10.0,8.0,8.0,100.0,11275734,0.0,1,False,Bushwick
10030955,Apartment,Private room,Real Bed,1,1125,flexible,2019-02-11,2,1,1,0,2,601.25,625.0,197.5,0,1,16,Rio de Janeiro,Rio De Janeiro,Brazil,-43.205047082633435,-22.971950988341874,363,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51496939,0.0,1,False,Lagoa
1003530,Apartment,Private room,Real Bed,12,360,Strict_14,2019-03-07,2,1,1,70,1,135.0,0.0,135.0,0,1,11,New York,New York,United States,-73.96523,40.79962,93,10.0,9.0,10.0,10.0,10.0,10.0,94.0,454250,100.0,3,True,
10038496,Apartment,Entire home/apt,Real Bed,3,75,Strict_14,2019-02-11,4,1,3,70,2,119.0,600.0,150.0,40,3,31,Rio de Janeiro,Rio De Janeiro,Brazil,-43.190849194463404,-22.984339360067814,118,10.0,10.0,10.0,10.0,10.0,10.0,98.0,51530266,100.0,2,True,Copacabana
10047964,House,Entire home/apt,Real Bed,2,1125,flexible,2019-02-18,6,2,6,1,1,527.0,0.0,197.5,-45,1,19,Kadıköy,Istanbul,Turkey,29.03133,40.98585,362,10.0,10.0,10.0,10.0,10.0,10.0,100.0,1241644,0.0,2,False,Moda
10051164,House,Private room,Real Bed,2,1125,Strict_14,2019-02-11,8,1,8,1,4,250.0,0.0,0.0,40,4,11,Rio de Janeiro,Rio De Janeiro,Brazil,-43.18015675229857,-22.92638234778768,296,10.0,6.0,8.0,8.0,8.0,8.0,80.0,51326285,80.0,5,False,Catete
10057447,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2019-03-11,4,1,2,0,1,50.0,0.0,94.0748,31,1,17,Montréal,Quebec,Canada,-73.59111,45.51889,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51612949,0.0,1,False,Mile End
10057826,Apartment,Entire home/apt,Real Bed,3,1125,Strict_14,2019-03-07,4,0,2,5,1,205.0,0.0,94.0748,0,1,23,Brooklyn,New York,United States,-73.94472,40.72778,243,9.0,10.0,10.0,8.0,9.0,9.0,88.0,47554473,100.0,13,False,Greenpoint
